Product,Issue,Sub-issue,Consumer complaint narrative
Credit card,Problem with a purchase shown on your statement,Overcharged for something you did purchase with the card,"In XXXX. I joined XXXX others for a trip to XXXX, XXXX. We had prearranged transportation but for the return trip to the airport the transfer did not show up so we asked the doorman at XXXX XXXX XXXX to call a cab. He asked would it be cash or credit. WE said credit. 
Once we got in the taxi, I gave the driver my XXXXXXXX XXXX He swiped it several times and said the card reader was not working. I gave him my Citi card and he said the same thing. So, we gave him cash, which was between {$25.00} and {$45.00}. Rushing to get to the airport I did not get a receipt for the cash. While at the airport I got a call from XXXX that they noticed suspicious activity on the card. I explained what happened they was told they would back me when I filed a dispute. I never heard from Citi. 
When I returned home, some days later i discovered that the drive had indeed charged {$450.00} to XXXX and more than {$500.00} to Citi! I disputed both. I have not any acceptable resolution. XXXX accepted an XXXX for my signature XXXX XXXX XXXX XXXX XXXX XXXX XXXXXXXX XXXX XXXX ) so I would never use an XXXX Citi never produced any proof but unbelievably is taking the side of the taxi co. A luxury XXXX XXXX might be {$96.00} or so dollars to how can I get charged on two different cards for more than {$1000.00} for a ride to the airport? That's is fraudulent use of my card and theft by deception. I had always believed and was told that in such cases a credit card company would back you. they don't. A Citi rep even told me it was on me because "" you did give him the card and you did get a ride to the airport. '' which makes no sense and is insulting at best. ( listen to the calls, they're recorded. ) I have explained what happened over and over ( you never get the same person twice. ) In both cases I was told it would be turned over to fraud and it never is. When I call the check I find out that the person never did what they said they were going to do in elevating this to fraud and deception. Citi has been especially bad. They never called to even report suspicious activity. nothing stood out for a {$500.00} plus taxi ride?? Seriously? I have even suggested they credit companies talk to each other and see where it clearly does not make sense. Citi said they don't do that and one rep even said nothing could be done basically because it was in XXXX, but Cit is a global firm, so that doesn't make sense. I have a Citi Costco Executive Card."
"Payday loan, title loan, personal loan, or advance loan",Getting the loan,None,We where scammed by them they deposited funds into our bank account but buy fraudulent checks and got our bank account locked
Debt collection,Attempts to collect debt not owed,Debt is not yours,
Credit card,Problem with a purchase shown on your statement,Credit card company isn't resolving a dispute about a purchase on your statement,
Debt collection,Took or threatened to take negative or legal action,Threatened or suggested your credit would be damaged,"I requested a debt validation letter in accordance with 15 U.S.C. 1692g, including the amount of the debt, the name of the creditor, verification of the debt, and the name and address of the original creditor, and I sent this request via certified mail to ensure receipt and compliance.

This morning, the company MRSBPO called me despite having received my certified debt validation request letter, which I sent in accordance with 15 U.S.C. 1692g. During the call, they threatened to ruin my credit, and I recorded the conversation as evidence of their actions."
Debt collection,Written notification about debt,Didn't receive enough information to verify debt,I never receieved information regarding a debt validation document that confirms the debt could be collected by the agency and also in my residing state.
Vehicle loan or lease,Managing the loan or lease,Problem with the interest rate,Went to a XXXX XXXX XXXX dealership in XXXXXXXX XXXX I purchased a vehicle with a XXXX deposit for a XXXX XXXX XXXX XXXXXXXX miles was told the purchase price would be XXXX after initial deposit remaining balance would have been XXXX to finance payment plan XXXX week paid almost XXXX into payment only to find out my submitted application was for XXXX unbeknownst to me
Mortgage,Struggling to pay mortgage,"Applying for or obtaining a modification, forbearance plan, short sale, or deed-in-lieu",
Debt collection,Attempts to collect debt not owed,Debt is not yours,I got a past due notice for {$1600.00} from koalafi. I did not have any idea what this was for so I contacted them and was told to contact the police and fie a report which I did and to file a complaint with you.
Debt collection,Attempts to collect debt not owed,Debt is not yours,
Credit card,Fees or interest,Unexpected increase in interest rate,I have been a credit card holder of Citi XXXX XXXX for XXXX years. I have NEVER had a late payment in my XXXX years! My current APR is 22.49 %! My APR should have never been this high XXXX years ago. Citi sent a letter that my APR will go up to 27.74 % on XXXX. I contacted Citi about the unfair increase and they should lower my current APR. Citi stated that they can not do anything until after XXXX. I really think that was an excuse to blow me off! I will contact them again looking for a different result from a different representative or manager!
Mortgage,Trouble during payment process,Trying to communicate with the company to fix an issue while managing or servicing your loan,
Debt collection,Attempts to collect debt not owed,Debt is not yours,
Debt collection,False statements or representation,Attempted to collect wrong amount,"Dear Midland Credit Management INC, I recently received a debt collection notice from your office. I am writing to verify that you have contacted the correct individual and to request that you provide documentation confirming this. 
Please supply me with a copy of any contract or agreement signed with your company or the original creditor. 
In accordance with the Fair Debt Collection Practices Act ( FDCPA ), I request the following information : 1. The name and address of the original creditor and the current creditor.

2. Verification of the debt amount you are seeking to collect, including evidence that a contract exists creating the amount you claim is owed.

3. Documentation of all assignments showing the transfer of the debt from the original creditor to the current creditor.

4. Proof that the original creditor securitized the debt.

5. Documentation showing the assignments of the debt from the original creditor to the secured trust and then back to the original creditor.

Please cease and desist from collecting on this debt until you have provided validation of the debt.

Additionally, I request that you do not access my credit report or report anything to my credit bureaus. I dispute the validity of this debt amount, and this dispute should be reflected on my credit report if you have already reported this debt.

Permissible Purpose Please state your permissible purpose for accessing my credit information. I dispute your right to do so.

Notification to Other Collectors I dispute that I owe this debt to you. Should you transfer this debt to another collector, please inform them of my dispute regarding the validity of this debt. 
Thank you for your prompt attention to this matter."
Debt collection,Took or threatened to take negative or legal action,Threatened or suggested your credit would be damaged,
Credit card,Getting a credit card,Application denied,
Vehicle loan or lease,Struggling to pay your loan,Denied request to lower payments,
"Payday loan, title loan, personal loan, or advance loan",Problem with additional add-on products or services,None,
Credit card,Problem with a purchase shown on your statement,Credit card company isn't resolving a dispute about a purchase on your statement,
Credit card,Fees or interest,Problem with fees,
Debt collection,Communication tactics,Frequent or repeated calls,"Portfolio Recovery has made repeated phone calls several times a day, sometimes after XXXX XXXX Some from portfolio recovery, sometimes from different numbers. Ive tried to answer and ask them to stop calling but then there is no one there. They have also called family members. They have not sent ANY documentation, only harassing me with phone calls. They need to stop."
"Payday loan, title loan, personal loan, or advance loan",Incorrect information on your report,Account status incorrect,"In XXXX of XXXX I entered into a Debt Relief program and my Net Credit account was enrolled in this program. The Net Credit account was the first account to be settled. The balance at the time of settlement was {$3200.00} and it was settled for {$1600.00} to be paid off in XXXX payments. The first payment was received by Net Credit on XX/XX/XXXX with the final payment being on XX/XX/XXXX. Since that first payment Net Credit did not update the account information with the credit bureaus and has been falsely reporting late payments every month for almost a year on my credit report. I have disputed this account but nothing was done until recently they updated some of the information, however, they are still reporting late payments which is in violation of the Fair Credit Reporting Act ( FCRA )."
Debt collection,Took or threatened to take negative or legal action,Threatened or suggested your credit would be damaged,
Debt collection,Written notification about debt,Didn't receive enough information to verify debt,
Debt collection,False statements or representation,Attempted to collect wrong amount,
Debt collection,Attempts to collect debt not owed,Debt is not yours,I keep getting calls to my cell phone asking for me to call regarding a debt
Credit card,"Other features, terms, or problems",Other problem,
Debt collection,Electronic communications,Frequent or repeated messages,
Student loan,Dealing with your lender or servicer,Received bad information about your loan,"I am providing a new FORGERGY document for a loan discharge as requested. This is not the same document as a prior complaint.. I have filled out the new required and requested discharge application. This is a separate matter and not a duplicate. 

I am adding the requested discharge loan application to be investigated."
Debt collection,Communication tactics,"You told them to stop contacting you, but they keep trying",For the past 2 years I have received near daily calls from over 50 different phone numbers in the name of Portfolio Recovery Associates. This is in regards to a debt which at this point is 10 years old and well past the statute of limitations. I have requested on multiple occasions Portfolio Recovery Associates stop calling me however they continue to pull soft credit inquiries on me and resume calls within a few weeks. This company has absolutely no respect for the people they harass. I am constantly adding new phone numbers to my miles long block list on my phone to try and stop the harassment. They do not respond to cease and desist either which I have tried on multiple occasions. They deserve to be thrown in jail for this behavior.
Debt collection,Attempts to collect debt not owed,Debt was paid,The company calling me keeps saying that I owe them money for a Lowes account. I called synchrony Bank and spoke with them and they said that my account was closed in XXXX  in good standing and it was closed because I had not used it in multiple years. This company is calling me saying that I owe them {$1500.00}. The credit limit of the credit card was {$300.00} and it closed in good standing 15 years ago.
Credit card,Problem with a company's investigation into an existing problem,Was not notified of investigation status or results,
Debt collection,Attempts to collect debt not owed,Debt is not yours,"I want to stress that I did not give written permission for these specific transactions to be included in my consumer report. At no point did I authorize these entries, and their presence on my report is unwarranted. Consequently, I am formally requesting that these accounts be blocked and removed from my report immediately. 

It is important to clarify that this request is not due to any error or negligence on my part. There has been no oversight or misunderstanding on my end. Instead, this issue arises solely from the fact that I did not explicitly authorize the inclusion of these transactions in my report. I am diligent about maintaining the accuracy and privacy of my financial records, and these unauthorized entries compromise that integrity. 

I trust that you will handle this matter with the urgency and seriousness it deserves. Please confirm the removal of these transactions from my report as soon as possible. Thank you for your prompt attention to this issue."
Credit card,Problem with a purchase shown on your statement,Credit card company isn't resolving a dispute about a purchase on your statement,
Debt collection,Attempts to collect debt not owed,Debt is not yours,"I want to stress that I did not give written permission for these specific transactions to be included in my consumer report. At no point did I authorize these entries, and their presence on my report is unwarranted. Consequently, I am formally requesting that these accounts be blocked and removed from my report immediately. 

It is important to clarify that this request is not due to any error or negligence on my part. There has been no oversight or misunderstanding on my end. Instead, this issue arises solely from the fact that I did not explicitly authorize the inclusion of these transactions in my report. I am diligent about maintaining the accuracy and privacy of my financial records, and these unauthorized entries compromise that integrity. 

I trust that you will handle this matter with the urgency and seriousness it deserves. Please confirm the removal of these transactions from my report as soon as possible. Thank you for your prompt attention to this issue."
Credit card,Incorrect information on your report,Account status incorrect,
Debt collection,Took or threatened to take negative or legal action,Threatened or suggested your credit would be damaged,"I am writing to formally dispute the collection/closee account listed on my credit report. I am not liable for this Debt of {$980.00} with CAPIO PARTNERS I did not sign a contract with CAPIO PARTNERS and I didnt receive Verification of the debt via the original Contract Account number : unknown i was listed as an authorized user to an account belonging to XXXX XXXX XXXX XXXX I notice discrepancies in the personal information section, which I believe is inaccurate. Under the Fair Credit Reporting Act ( FCRA ) and the Fair Debt Collection Practices Act ( FDCPA ), I am entitled to accurate and verifiable information on my credit report. I am requesting that this collection account be investigated and removed if it is found to be inaccurate or unverifiable. Disputed Account Details : Collection Agency Name : CAPIO PARTNERS Date of entry : XX/XX/year> Reason for Dispute : XXXX. I have not been afforded the opportunity to dispute the account in accordance with 12CFR 1006.34 ( c ) ( 4 ) ( ). This denial of the dispute process deprives me of my right to challenge any inaccuracies or discrepancies regarding the alleged debt. 2. CAPIO PARTNERS has resorted to false, misleading, and deceptive means in their collection efforts, thereby violating my consumer rights. Such unethical practices undermine the integrity of the debt collection process and cause undue distress to consumers. 3. Furthermore, the agency lacks the authority to furnish any account to consumer reporting agencies without adhering to the necessary disclosures mandated by law. By neglecting to fulfil their obligations under 12 CER 1006.34 ( d ) and 15 USC 1681-S 2 ( 7 ) ( A ). CAPIO PARTNERS is flagrantly disregarding consumer protection statutes. I demand that CFPB investigate these egregious Legal Basis for Dispute : 1. Fair Credit Reporting Act ( FCRA ) : Under Section 611 of the FCRA, I have the right to dispute inaccurate or incomplete information on my credit report. The credit bureau is required to investigate the disputed information and ensure that it is accurate and verifiable. If the information can not be verified, it must be removed from my credit report. 2. Fair Debt Collection Practices Act ( FDCPA ) : Under Section 809 of the FDCPA, I am entitled to verification of the debt from the collection agency. If the collection agency can not provide proper verification or validation of the debt, it must cease collection efforts and remove the account from my credit report. Request for Action : I request that you investigate this matter and provide me with the results of your investigation. If the collection account is found to be inaccurate or unverifiable, I ask that it be removed from my credit report. Please provide me with written confirmation once the correction has been made. Thank you for your prompt attention to this matter. I look forward to your response within the timeframe required by law."
Debt collection,False statements or representation,Attempted to collect wrong amount,"I have account reporting on my consumer report By Credence Resource. I do not now who or what this company is but it is reporting as a collection on my consumer report. I have tried to get the inaccurate item removed and deleted from my consumer report. I know everything is wrong on this account anyway, the dates are inaccurate and the account is inaccurate. Since this account is still reporting on my report and has not been validated or verified, I will be seeking for damages under the FCRA and the FDCPA UP TO {$1000.00} PER VIOLATION AND FOR EVERY MONTH THAT IT HAS BEEN REPORTING ON MY CONSUMER REPORT. Credence Resource will be held liable because they are reporting the debt on my consumer report."
Debt collection,Attempts to collect debt not owed,Debt is not yours,"On XX/XX/year> I send certified letter to Continental Financial, requesting Validation and Purchase Agreement of alleged debt a owe them and that they are Reporting in to my Credit Report. They mail me copies of XXXX XXXX  statements but NO copy of the Purchase Agreement."
Mortgage,Trouble during payment process,"Escrow, taxes, or insurance","Our monthly payments were {$1400.00} monthly since XXXX XXXX to XX/XX/XXXX Breakdown {$900.00} Principal & interest {$40.00} PMI {$460.00} Escrow -Taxes {$1400.00} Total This is in our Closing Disclosure documents. The bank started taking money out of the Escrow account in XX/XX/XXXX for Curtailment Payments without our knowledge. This left the Escrow Account short of money to pay XX/XX/XXXX taxes, so they increased our monthly payments to & XXXX to cover for the shortage. 
Escrow Changes- XX/XX/XXXX {$480.00} - XX/XX/XXXX {$480.00} - XX/XX/XXXX {$330.00} XX/XX/XXXX {$360.00} These changes came from XXXX XXXX at DCU Credit Union.

I have been speaking with XXXX XXXX XXXXTeam Leader Loan Dept DCU Credit Union and she keeps telling me over and over that the Curtailment Payments are not coming out of Escrow Account. I GIVE UP!"
Credit card,Problem with a purchase shown on your statement,Card was charged for something you did not purchase with the card,"This Total Visa card has a {$300.00} limit and I barely use it. 
Here are the fraudulent charges : XX/XX/XXXX posted XX/XX/XXXX XXXX XXXX XXXX XXXX CA {$58.00} XX/XX/XXXX posted XX/XX/XXXX XXXX XXXX XXXX XXXX CA {$77.00} XX/XX/XXXX posted same day XXXX XXXX XXXX XXXX CA {$77.00} XX/XX/XXXX posted same day XXXX XXXX XXXX XXXX CA {$58.00} * I have NEVER bought anything from XXXX ( verifiable by my purchase records ) * I have never received such items ( Pls check delivery records ) * The statement suggests I bought these items TWICE in the same month!! 
* It is utterly absurd and I am enraged. 

Please help."
Mortgage,Struggling to pay mortgage,"Applying for or obtaining a modification, forbearance plan, short sale, or deed-in-lieu",
Debt collection,Attempts to collect debt not owed,Debt is not yours,"I am filing this complaint because several accounts listed on my credit report involve unverified or inaccurate information. Despite sending certified mail to request validation of these debts, I have not received a proper response. These actions violate my rights under federal laws, including 15 U.S.C. 1681b, 15 U.S.C. 6802, and 12 U.S.C. 6802, which regulate the proper handling of consumer information and debt collection practices. 

Below are the accounts and specific issues : The Guarantors ( XXXX XXXX XXXX ) : Balance : {$2200.00} Issue : On XX/XX/XXXX, I sent a certified debt validation request ( USPS Tracking # XXXX ), which was delivered between XX/XX/XXXX. I have not received a response. The collection agency has failed to prove ownership of the debt or provide supporting documentation, violating my rights under the FDCPA and FCRA. 

XXXX XXXX XXXXXXXX XXXX XXXX XXXX XXXX XXXX  : Balance : {$1200.00} Issue : I do not recognize this debt nor the collection agency managing it. Despite sending a certified validation request, I have received no response. This lack of response and continued reporting violates 15 U.S.C. 1681b regarding permissible purposes for sharing consumer information. 
XXXX XXXX XXXX XXXX XXXX XXXX XXXX  Balance : {$260.00} Issue : I do not recognize this account, which has been inaccurately marked under "" fraud. '' I sent a certified debt validation request on XX/XX/XXXX, but the collection agency has not provided any documentation or proof of this debt. 
XXXX XXXXXXXX XXXX XXXX XXXX XXXX XXXX  : Balance : {$1000.00} Issue : This account has been reported by XXXX XXXX XXXX without proper validation. Despite a certified mail request sent on XX/XX/XXXX, no response or documentation has been provided. This violates 12 U.S.C. 6802, which governs the sharing of consumer financial information without proper consent or verification. 
XXXX XXXX : Balance : {$2300.00} Issue : The original creditor is reporting this debt as charged off. However, I have no knowledge of this account. My certified mail request for validation has not been answered. 
XXXX XXXX XXXX Balance : {$0.00} ( Charged Off ) Issue : This account has been sold to another lender, yet I have received no information about the new creditor. This creates an incomplete and unverifiable record on my credit report, violating my rights under 15 U.S.C. 1681b. 
Violations of Federal Laws Fair Debt Collection Practices Act ( FDCPA ) : Collection agencies are continuing to report and pursue debts without validating their claims, in violation of my rights under the FDCPA. 
Fair Credit Reporting Act ( FCRA ) 15 U.S.C. 1681b : Information has been shared with collection agencies without proper validation or permissible purpose.

Gramm-Leach-Bliley Act ( GLBA ) 12 U.S.C. 6802 : My financial information has been shared without my knowledge or consent, violating federal privacy protections. 



On XX/XX/XXXX, I sent a certified mail request for validation to the collection agency handling this account. The USPS tracking number for this request is XXXX XXXX XXXX XXXX XXXX XXXX XXXX, and it was confirmed delivered between XX/XX/XXXX. 

To date, I have not received a response or documentation validating this debt. As per the Fair Credit Reporting Act ( FCRA ) and the Fair Debt Collection Practices Act ( FDCPA ), this failure to validate violates my consumer rights. I respectfully request that this account be removed immediately from my credit report."
Debt collection,Written notification about debt,Notification didn't disclose it was an attempt to collect a debt,
Debt collection,Attempts to collect debt not owed,Debt is not yours,
Debt collection,Electronic communications,Frequent or repeated messages,
Credit card,Problem with a purchase shown on your statement,Credit card company isn't resolving a dispute about a purchase on your statement,
Debt collection,Written notification about debt,Notification didn't disclose it was an attempt to collect a debt,
Credit card,Problem with a company's investigation into an existing problem,Was not notified of investigation status or results,
Credit card,Problem with a company's investigation into an existing problem,Was not notified of investigation status or results,
Student loan,Dealing with your lender or servicer,Need information about your loan balance or loan terms,
Debt collection,Written notification about debt,Notification didn't disclose it was an attempt to collect a debt,
Debt collection,Written notification about debt,Notification didn't disclose it was an attempt to collect a debt,
Mortgage,Trouble during payment process,Trying to communicate with the company to fix an issue while managing or servicing your loan,
"Payday loan, title loan, personal loan, or advance loan",Struggling to pay your loan,None,"Complaint Regarding Unfair Loan Terms and Financial Hardship Dear Consumer Financial Protection Bureau, I am writing to formally file a complaint regarding the terms of a personal loan I obtained from OneMain Financial. The loan has a fixed interest rate of 17.99 %, which I believe is unreasonably high and has caused significant financial hardship. 

Loan Details : - Lender Name : OneMain Financial Protection Bureau - Loan Amount : {$12000.00} - Interest Rate : 17.99 % ( fixed ) - Origination Date : XX/XX/year> - Payments Made : XXXX payments of {$370.00} as of XXXX Complaint Summary : Despite making consistent monthly payments since the loans origination, my current principal balance remains {$10000.00}, with the majority of payments being applied to interest rather than reducing the principal. This creates an unmanageable financial burden. 

Additionally, the high interest rate was not adequately explained when I accepted the loan, and I believe the terms may fall under predatory lending practices, given the lack of flexibility or alternatives offered by the lender despite my attempts to communicate financial hardship. 

I kindly request the CFPBs assistance in addressing this matter and ensuring fair treatment in the resolution of this loan. 

Thank you for your time and attention to this matter. I look forward to your response and assistance in resolving this issue."
Debt collection,Attempts to collect debt not owed,Debt was already discharged in bankruptcy and is no longer owed,
Mortgage,Trouble during payment process,Fees charged,
Debt collection,Attempts to collect debt not owed,Debt was result of identity theft,
Credit card,Incorrect information on your report,Account status incorrect,
Credit card,Getting a credit card,Application denied,
Debt collection,Attempts to collect debt not owed,Debt is not yours,I barely had my credit repaired and again in XX/XX/year> I see an account from DRS not sure who they are. I did research that the original account comes from XXXX XXXX. I have not even applied for a credit card for the same reason I knew that one my credit was being repaired and two I knew I would qualify. I can assure that I didnt physically or electronically signed no documents or gave consent to open that account.
Debt collection,Attempts to collect debt not owed,Debt was result of identity theft,"Tenant fraudulently had solar panels install by securing financing from XXXX XXXX XXXX  who in turn sold debt to XXXX XXXX. Tenant never made payments and when collection was initiated, XXXX, XXXX XXXX XXXXXXXX ( debt collectors ), initiated collection process to collect from me. Note ; I was not aware of any of this taking place until I received the collection notice from the collector in the amount of {$37000.00}. As I had already sent an affidavit of Fraud/Forgery to XXXX XXXX XXXX  and was under the impression this matter had been resolved. 

In the original loan documents you, can see where my signature was electronically signed and the tenant used her personal email to receive all communications related to this transaction/loan. 

At no point and time was this approved by me as I was not aware of this transaction and I would not have approved such an expense. 

I filed a police report against the tenant for identify theft and will pursue this to the fullest extent of the law."
Credit card,Problem when making payments,Problem during payment process,
"Payday loan, title loan, personal loan, or advance loan",Problem with the payoff process at the end of the loan,None,"The full payment on my personal loan was made from a HELOC account, but there was an overpayment of around {$700.00} made before XX/XX/XXXX. I contacted Santander Bank and they agreed to send me a check. I have been talking to them frequently since that date but I have not received the check even after almost a month and a half. The first time I made the request around XX/XX/XXXX, they supposedly did not register the request in the system. When I called on XX/XX/XXXX to get information, they made the request with reference number XXXX. Supposedly, on XX/XX/XXXX, it was that They sent the check, I was calling because they told me I had to wait XXXX days, then it was up to XXXX  days to wait, but it never arrived. On XX/XX/XXXX, I called again and was informed that it could be postal mail problems, so they made a new request ( reference number XXXX ). Although I have asked that the money be sent electronically to the same account where the payments were made, they have refused. I have also asked them to send me the check with a carrier that provides a tracking number. They have also refused. and they only want to send it by regular mail where there is no proof of delivery or it can be lost."
Vehicle loan or lease,Problems at the end of the loan or lease,Termination fees or other problem when ending the lease early,"Hyundai Finance sent me a demand letter for {$830.00} after early termination of my lease. I prepared a rebuttal reconciliation that totaled to {$320.00}. Hyundai billed me for Sales/Use Taxes that do not conform to my lease agreement per the Federal Consumer Leasing Act Disclosure or Michigan law . The demand letter is dated XX/XX/year> and was mailed to me. I received it in my mailbox XX/XX/year>. Hyundai has my email address and has emailed several documents over the course of the lease. They did not email the demand letter nor was I contacted by phone to be made aware of the circumstances and expected payment.

I have attached my lease contract and my rebuttal reconciliation and other documents to support my claim."
Debt collection,Attempts to collect debt not owed,Debt is not yours,
Debt collection,False statements or representation,Attempted to collect wrong amount,
Debt collection,False statements or representation,Attempted to collect wrong amount,
Debt collection,Attempts to collect debt not owed,Debt was paid,
Credit card,Problem when making payments,Problem during payment process,
Credit card,Getting a credit card,Card opened without my consent or knowledge,
Credit card,Getting a credit card,Card opened without my consent or knowledge,
Debt collection,Took or threatened to take negative or legal action,Threatened to sue you for very old debt,
Debt collection,Attempts to collect debt not owed,Debt is not yours,I bought a car an got an auto loan with a company XX/XX/XXXX on XX/XX/XXXX the automobile was illigally repossessed. The last payment I made was in the amount of {$2000.00} dollars. I informed the leander this payment would be made on the specific date. Once the payment cleared my car was illegally repossessed. The company than tried to sale the car at an auction while I should have still been in possession of the automobile. It was sold at a loss
Debt collection,Written notification about debt,Notification didn't disclose it was an attempt to collect a debt,
Credit card,Incorrect information on your report,Account status incorrect,
Vehicle loan or lease,Struggling to pay your loan,Problem after you declared or threatened to declare bankruptcy,"XXXX XXXX has violated my consumer rights, my right to privacy, my constitutional protected right of due process, fair debt collection act, and XXXX automatic stay. This company took out payment from my bank account and has not refunded a payment amount of {$740.00} on XX/XX/XXXX. With full knowledge that I had filed bankruptcy and was under protection of an atomic stay. I will attach bank record. The company sent a tow company 3 times to report my XXXX jeep XXXX that they state was delinquent in payment. Yet they are reporting to the credit report agency that loan has been paid 100 % in full because debt was fully discharged. I have attached screenshot of credit report. Also in the car contract it states in arbitration agreement that before any repossession. I was not given opportunity to cure any alleged debt no was i informed that my application/loan would be converted into a security interest and traded. These actions have caused me to have a XXXX XXXX XXXXXXXX and now I have no use of my right side. And have speech XXXX. I am still in a XXXX automatic state do to having to refile XXXX"
Credit card,"Other features, terms, or problems",Other problem,"I placed an order for eyeglasses on my Care Credit ( Synchrony Bank ) card at XXXX XXXX XXXX on XX/XX/year>, but cancelled the order before the charge was placed on the same day. Despite this, the business charged my card XXXX days later. I filed a fraud claim, but Care Credit claims that I authorized or benefitted from this purchase. I have never received the eyeglasses and XXXX XXXX XXXX can not show that I received the eyeglasses. I was able to close me account with Care Credit, but they say I am still responsible for the charge. I would like the charge expunged."
Debt collection,False statements or representation,Attempted to collect wrong amount,
Student loan,Struggling to repay your loan,"Problem with forgiveness, cancellation, or discharge","I am XXXX and have been actively XXXX for years. I filled out the paperwork and was told that i qualified for discharge of my student loans due to the XXXX and meanwhile they had me on a repayment plan of {$0.00} so I thought it had all been taken care of but when I pulled up my credit report it still shows that they are reporting it as an active debt and negative. This affects my ability to obtain medical needs due to their negative reporting and the information they have is inaccurate as well the date of birth listed is wrong on numerous things they have listed. I was told all my student loans were discharged due to my XXXX then when I contacted them they give me the runaround oh we need paperwork they say they never received etc... I barely am able to live right now and this stress is most certainly not helping my health. Talking to someone is like talking to a brick wall. Not getting anywhere. They have told us XXXX thing and have done exactly the opposite placing us in a horrible ongoing situation, If it is discharged why are they reporting it the way they are preventing us from obtaining the much needed medical care we need that is turned down after reviewing our credit and the informaiton listed because of this debt that we are not supposed to have."
Debt collection,Attempts to collect debt not owed,Debt is not yours,
Debt collection,Attempts to collect debt not owed,Debt was result of identity theft,
Debt collection,Attempts to collect debt not owed,Debt is not yours,
Credit card,Incorrect information on your report,Account status incorrect,
Vehicle loan or lease,Managing the loan or lease,Billing problem,"On XX/XX/year> I purchsaed a new car with a partial financing from XXXX XXXX XXXX ( CHASE AUTO ). The total amount to be repaid is {$140000.00}. The first installment payment was due by XX/XX/XXXX but I decided to pay off the entire loan and received a pay off quote of {$140000.00} that was valid until XX/XX/year>. I sent a payment ( endorsed negotiable instrument ) of {$140000.00} with certified mail to CHASE AUTO on XX/XX/year> : XXXX XXXX The payment was received and signed for on XX/XX/year>. CHASE AUTO did not apply the payment to my account to set off the balance on my account to XXXX : UCC 3-603 Instead they pretended they did not receive my payment and marked my account as late : having missed the first payment. This is fraud! 
Chase Auto did not return my payment or apply my payment to the balance of my account. Chase auto is in Breach of fiduciary duties and Breach of contract."
Debt collection,Attempts to collect debt not owed,Debt was result of identity theft,I was approved for a credit card and within a month out the blue closed my account and so they sold my information to a collects agency. Im a victim of identity theft Without prejudice the credit profile of mines is like bad news and Im never XXXX
Debt collection,Attempts to collect debt not owed,Debt is not yours,"I want to stress that I did not give written permission for these specific transactions to be included in my consumer report. At no point did I authorize these entries, and their presence on my report is unwarranted. Consequently, I am formally requesting that these accounts be blocked and removed from my report immediately. 

It is important to clarify that this request is not due to any error or negligence on my part. There has been no oversight or misunderstanding on my end. Instead, this issue arises solely from the fact that I did not explicitly authorize the inclusion of these transactions in my report. I am diligent about maintaining the accuracy and privacy of my financial records, and these unauthorized entries compromise that integrity. 

I trust that you will handle this matter with the urgency and seriousness it deserves. Please confirm the removal of these transactions from my report as soon as possible. Thank you for your prompt attention to this issue."
Debt collection,Communication tactics,Frequent or repeated calls,
Debt collection,Took or threatened to take negative or legal action,Threatened to sue you for very old debt,"This debt was sold to a debt collector, whereas the debt was ripped off and sold to a collection agency who has no written contract with me whatsoever, declaring that I have a debt with them"
Debt collection,Electronic communications,Frequent or repeated messages,
Credit card,Problem with a purchase shown on your statement,Credit card company isn't resolving a dispute about a purchase on your statement,"On XX/XX/year>, I made a payment of {$1400.00} through XXXXXXXX XXXX  to reduce my Macys credit card balance. The payment was successfully processed, and I enrolled in autopay to pay off the remaining balance by the end of the month. 

On XX/XX/year>, Macys incorrectly charged my account {$2600.00} instead of the expected {$1200.00}, which caused my XXXX Bank account to overdraft. I immediately contacted Macys customer service to report the issue and request a correction, but despite several attempts, the issue was not resolved. 

Frustrated with the lack of resolution, I filed a dispute with XXXX XXXX  for the {$1400.00} payment, as I was uncertain how the funds were being applied. After XXXX resolved the dispute in my favor, Macys reposted the {$1400.00} as a balance owed on my account and subsequently closed my credit account without providing a proper explanation. 

This account closure negatively impacted my credit score. I have all the necessary documentation, including proof of the original {$1400.00} payment, the overdraft caused by Macys error, and communication attempts with Macys customer service.

I am requesting that Macys : Clear the reposted {$1400.00} balance. 
Reverse the account closure and correct its impact on my credit report. 
Provide an explanation and formal acknowledgment of their error. 
I would appreciate a prompt resolution to this matter."
